autores_tratados,Sexo Primeiro Autor (dic),Qtd Autores Feminino (dic),Qtd Autores Unknown (dic)
MOSER ZEFERINO VICENTE JOSE; PEDRO DE ALMEIDA MUTTER; JULIO CEZAR ESTRELLA,unknown,0.0,1.0
EDUARDO FERREIRA DA SILVA; JOEL PIRES; DENIS ROBSON DANTAS; MAYKI DOS SANTOS OLIVEIRA; FREDERICO ARAUJO DURAO,M,0.0,1.0
RAYFRAN ROCHA LIMA; KAMILA CARDOSO VASCONCELOS; ELOISA MENDONCA GADELHA,unknown,2.0,1.0
DANIEL AUGUSTO R. LIMA DE SOUZA; FABIO C. RAMOS; CAINA S. DE OLIVEIRA; EDLUCE L. VERAS; PAULO FABRICIO DA F. LOPES; BARBARA L. SANTOS; JOSE DIOGO B. DE SOUZA; ADRIANO DE O. OLIVEIRA,M,1.0,1.0
LUCAS LICURGO; GHABRIEL SOUZA; PEDRO DE MORAIS; FABIO MALINI; GIOVANNI COMARELA; ATHUS CAVALINI,M,0.0,1.0
JOAO PEDRO RESENDE BARROSO; ALEARDO MANACERO; RENATA SPOLON LOBATO; ROBERTA SPOLON,M,2.0,1.0
REILTA CHRISTINE DANTAS MAIA; SAMUEL XAVIER-DE-SOUZA,unknown,0.0,1.0
JHONATAN CLETO; GUILHERME VALARINI; HERVE YVIQUEL,M,0.0,1.0
LUC RIBAS; IAGO AQUINO; ISAIAS FELZMANN; LUCAS WANNER; GUIDO ARAUJO,unknown,0.0,1.0
MAUCHA ANDRADE GAMONAL; ADRIANA SILVINA PAGANO; TIAGO TIMPONI TORRENT; ELY EDISON MATOS,unknown,1.0,1.0
TAMYRES VIAL DE SOUZA; JHONATA TIRLONI; FELIPE BELO; NELCILENO VIRGILIO ARAUJO; THIAGO M. VENTURA; ALLAN GONCALVES DE OLIVEIRA,F,1.0,1.0
LUCAS DARCIO; KARINA SOARES SANTOS; AMANDA SPELLEN; ESTHER SOARES; LIVY REAL; ALTIGRAN SOARES DA SILVA,M,3.0,2.0
DOMINICK MAIA ALEXANDRE; LEONEL FIGUEIREDO DE ALENCAR,unknown,0.0,1.0
