Event,Ano,Total_Autoras,Total_Autores_Masculinos,Primeiras_Autoras,Total_Autores,Primeiros_Autores_Masculinos,Total_Artigos,Proporcao_Autoras,Proporcao_Primeiras_Autoras,Media_Autoras_Lideranca_Feminina,Media_Autoras_Lideranca_Masculina
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2015,0000",58,112,18,182,27,45,"0,3187","0,4000","2,0000","0,8148"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2016,0000",51,96,14,153,33,47,"0,3333","0,2979","1,9286","0,7273"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2017,0000",8,16,3,28,4,7,"0,2857","0,4286","1,3333","1,0000"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2018,0000",20,24,7,47,7,14,"0,4255","0,5000","1,7143","1,1429"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2019,0000",40,99,9,151,30,39,"0,2649","0,2308","1,6667","0,8333"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2020,0000",18,33,7,53,7,14,"0,3396","0,5000","2,0000","0,5714"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2021,0000",24,26,1,52,13,14,"0,4615","0,0714","4,0000","1,5385"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2022,0000",43,66,12,112,17,29,"0,3839","0,4138","2,2500","0,9412"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2023,0000",87,97,20,190,30,50,"0,4579","0,4000","2,8000","1,0333"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2024,0000",124,173,23,314,46,69,"0,3949","0,3333","2,7391","1,3261"
PROCEEDINGS OF THE WORKSHOP ON COMPUTING EDUCATION (WEI),"2025,0000",195,306,40,534,77,117,"0,3652","0,3419","2,6750","1,1429"
